rank,rawRank,materialId,formula,family,spacegroup,energyAboveHullEv,bandGapEv,densityGcm3,score,primaryScore,secondaryScore,riskPenalty,stabilityComponent,bandGapComponent,densityComponent,riskFlags,liAtomicFraction,hydrogenAtomicFraction,duplicateGroup,duplicateCount,screeningLevel,materialsProjectUrl
1,1,mp-556886,Li4Al3Ge3ClO12,halide,P-43n,0.00045276532608500003,4.1175,2.777094244749474,0.994341,0.998529,0.956656,0.0,0.583676,0.315,0.0,,0.173913,0.0,Li4Al3Ge3ClO12,1,proxy-screen,https://materialsproject.org/materials/mp-556886
2,2,mp-554203,Li4Ga3Si3ClO12,halide,P-43n,0,4.5903,2.849325718995657,0.992711,1.0,0.927106,0.0,0.585,0.315,0.0,,0.173913,0.0,Li4Ga3Si3ClO12,1,proxy-screen,https://materialsproject.org/materials/mp-554203
3,3,mp-567652,Cs2LiYCl6,halide,Fm-3m,0,4.8986,3.178280559262178,0.990784,1.0,0.907837,0.0,0.585,0.315,0.0,,0.1,0.0,Cs2LiYCl6,1,proxy-screen,https://materialsproject.org/materials/mp-567652
4,4,mp-985583,Li3PS4,thiophosphate-sulfide,Pnma,0,2.8091,1.854266986621739,0.989557,1.0,0.895569,0.0,0.585,0.315,0.0,,0.375,0.0,Li3PS4,3,proxy-screen,https://materialsproject.org/materials/mp-985583
5,5,mp-11175,LiZnPS4,thiophosphate-sulfide,I-4,0,2.731199999999999,2.497266967183973,0.98907,1.0,0.8907,0.0,0.585,0.315,0.0,,0.142857,0.0,LiZnPS4,1,proxy-screen,https://materialsproject.org/materials/mp-11175
6,7,mp-950995,Li6PS5I,thiophosphate-sulfide,Cc,0.0021249259615370004,2.533299999999998,2.221001687850509,0.980849,0.993094,0.870639,0.0,0.578785,0.315,0.0,,0.461538,0.0,Li6PS5I,2,proxy-screen,https://materialsproject.org/materials/mp-950995
7,8,mp-10499,LiZr2(PO4)3,zirconium-phosphate,P2_1/c,0,4.253299999999999,3.219703708075803,0.978484,1.0,0.784837,0.0,0.585,0.315,0.0,,0.055556,0.0,LiZr2(PO4)3,6,proxy-screen,https://materialsproject.org/materials/mp-10499
8,9,mp-942733,Li7La3Zr2O12,garnet-oxide,I4_1/acd,0.006846009531249001,4.168800000000001,5.013095012638695,0.97742,0.97775,0.97445,0.0,0.564975,0.315,0.0,,0.291667,0.0,Li7La3Zr2O12,1,proxy-screen,https://materialsproject.org/materials/mp-942733
9,10,mp-766132,Li2ZrFe(PO4)3,zirconium-phosphate,Pna2_1,0.0030173771052620004,2.4566,3.043916434674435,0.974928,0.990194,0.837537,0.0,0.576174,0.315,0.0,,0.105263,0.0,Li2ZrFe(PO4)3,1,proxy-screen,https://materialsproject.org/materials/mp-766132
10,17,mp-1223569,Li4Zr8V3(P3O16)3,zirconium-phosphate,P1,0.006377033888895001,3.1339,3.057278031198527,0.956001,0.979275,0.746537,0.0,0.566347,0.315,0.0,,0.055556,0.0,Li4Zr8V3(P3O16)3,1,proxy-screen,https://materialsproject.org/materials/mp-1223569
11,29,mp-696138,Li10Ge(PS6)2,lgps-like-sulfide,P1,0.0187605339,2.5395,1.977132075098642,0.935997,0.939028,0.908719,0.0,0.530125,0.315,0.0,,0.4,0.0,Li10Ge(PS6)2,2,proxy-screen,https://materialsproject.org/materials/mp-696138
12,32,mp-769074,Na2LiTi3Al(PO4)6,nasicon-oxide,P1,0.012859604505403001,2.5293,2.8373378528380053,0.928902,0.958206,0.665162,0.0,0.547386,0.315,0.0,,0.027027,0.0,Na2LiTi3Al(PO4)6,2,proxy-screen,https://materialsproject.org/materials/mp-769074
