rank,rawRank,materialId,formula,family,spacegroup,energyAboveHullEv,bandGapEv,densityGcm3,score,primaryScore,secondaryScore,domainEvidenceScore,evidenceTier,evidenceSourceLevel,riskPenalty,stabilityComponent,bandGapComponent,densityComponent,domainEvidenceComponent,riskFlags,domainGates,missingProperties,nextCalculations,liAtomicFraction,hydrogenAtomicFraction,duplicateGroup,duplicateCount,screeningLevel,materialsProjectUrl
1,1,mp-556886,Li4Al3Ge3ClO12,halide,P-43n,0.00045276532608500003,4.1175,2.777094244749474,0.957174,0.998529,0.956656,0.626855,watchlist,proxy-only,0.0,0.518823,0.28,0.0,0.062686,,phaseStability:pass:0.997736;wideGapProxy:pass:1.0;liContent:pass:1.0;frameworkChemistry:fail:0.443478;ionicConductivity:missing:0.35;migrationBarrier:missing:0.35;electrochemicalWindow:missing:0.3,"ionicConductivityScm,migrationBarrierEv,electrochemicalWindowV,interfaceStability",NEB or bond-valence migration barrier for mobile Li pathways | AIMD ionic conductivity at target temperature | grand-potential electrochemical window and electrode interface reactions | phonon/dynamic stability check for shortlisted phases,0.173913,0.0,Li4Al3Ge3ClO12,1,proxy-screen,https://materialsproject.org/materials/mp-556886
2,2,mp-554203,Li4Ga3Si3ClO12,halide,P-43n,0,4.5903,2.849325718995657,0.955432,1.0,0.927106,0.627217,watchlist,proxy-only,0.0,0.52,0.28,0.0,0.062722,,phaseStability:pass:1.0;wideGapProxy:pass:1.0;liContent:pass:1.0;frameworkChemistry:fail:0.443478;ionicConductivity:missing:0.35;migrationBarrier:missing:0.35;electrochemicalWindow:missing:0.3,"ionicConductivityScm,migrationBarrierEv,electrochemicalWindowV,interfaceStability",NEB or bond-valence migration barrier for mobile Li pathways | AIMD ionic conductivity at target temperature | grand-potential electrochemical window and electrode interface reactions | phonon/dynamic stability check for shortlisted phases,0.173913,0.0,Li4Ga3Si3ClO12,1,proxy-screen,https://materialsproject.org/materials/mp-554203
3,3,mp-567652,Cs2LiYCl6,halide,Fm-3m,0,4.8986,3.178280559262178,0.953584,1.0,0.907837,0.628,watchlist,proxy-only,0.0,0.52,0.28,0.0,0.0628,,phaseStability:pass:1.0;wideGapProxy:pass:1.0;liContent:pass:1.0;frameworkChemistry:fail:0.45;ionicConductivity:missing:0.35;migrationBarrier:missing:0.35;electrochemicalWindow:missing:0.3,"ionicConductivityScm,migrationBarrierEv,electrochemicalWindowV,interfaceStability",NEB or bond-valence migration barrier for mobile Li pathways | AIMD ionic conductivity at target temperature | grand-potential electrochemical window and electrode interface reactions | phonon/dynamic stability check for shortlisted phases,0.1,0.0,Cs2LiYCl6,1,proxy-screen,https://materialsproject.org/materials/mp-567652
4,4,mp-11175,LiZnPS4,thiophosphate-sulfide,I-4,0,2.731199999999999,2.497266967183973,0.953327,1.0,0.8907,0.642571,watchlist,proxy-only,0.0,0.52,0.28,0.0,0.064257,,phaseStability:pass:1.0;wideGapProxy:pass:1.0;liContent:pass:1.0;frameworkChemistry:watch:0.571429;ionicConductivity:missing:0.35;migrationBarrier:missing:0.35;electrochemicalWindow:missing:0.3,"ionicConductivityScm,migrationBarrierEv,electrochemicalWindowV,interfaceStability",NEB or bond-valence migration barrier for mobile Li pathways | AIMD ionic conductivity at target temperature | grand-potential electrochemical window and electrode interface reactions | phonon/dynamic stability check for shortlisted phases,0.142857,0.0,LiZnPS4,1,proxy-screen,https://materialsproject.org/materials/mp-11175
5,5,mp-985583,Li3PS4,thiophosphate-sulfide,Pnma,0,2.8091,1.854266986621739,0.952957,1.0,0.895569,0.634,watchlist,proxy-only,0.0,0.52,0.28,0.0,0.0634,,phaseStability:pass:1.0;wideGapProxy:pass:1.0;liContent:pass:1.0;frameworkChemistry:watch:0.5;ionicConductivity:missing:0.35;migrationBarrier:missing:0.35;electrochemicalWindow:missing:0.3,"ionicConductivityScm,migrationBarrierEv,electrochemicalWindowV,interfaceStability",NEB or bond-valence migration barrier for mobile Li pathways | AIMD ionic conductivity at target temperature | grand-potential electrochemical window and electrode interface reactions | phonon/dynamic stability check for shortlisted phases,0.375,0.0,Li3PS4,3,proxy-screen,https://materialsproject.org/materials/mp-985583
6,7,mp-950995,Li6PS5I,thiophosphate-sulfide,Cc,0.0021249259615370004,2.533299999999998,2.221001687850509,0.943026,0.993094,0.870639,0.614864,watchlist,proxy-only,0.0,0.514475,0.28,0.0,0.061486,,phaseStability:pass:0.989375;wideGapProxy:pass:1.0;liContent:pass:0.97436;frameworkChemistry:fail:0.384615;ionicConductivity:missing:0.35;migrationBarrier:missing:0.35;electrochemicalWindow:missing:0.3,"ionicConductivityScm,migrationBarrierEv,electrochemicalWindowV,interfaceStability",NEB or bond-valence migration barrier for mobile Li pathways | AIMD ionic conductivity at target temperature | grand-potential electrochemical window and electrode interface reactions | phonon/dynamic stability check for shortlisted phases,0.461538,0.0,Li6PS5I,2,proxy-screen,https://materialsproject.org/materials/mp-950995
7,8,mp-942733,Li7La3Zr2O12,garnet-oxide,I4_1/acd,0.006846009531249001,4.168800000000001,5.013095012638695,0.941598,0.97775,0.97445,0.619523,watchlist,proxy-only,0.0,0.5022,0.28,0.0,0.061952,,phaseStability:pass:0.96577;wideGapProxy:pass:1.0;liContent:pass:1.0;frameworkChemistry:fail:0.425;ionicConductivity:missing:0.35;migrationBarrier:missing:0.35;electrochemicalWindow:missing:0.3,"ionicConductivityScm,migrationBarrierEv,electrochemicalWindowV,interfaceStability",NEB or bond-valence migration barrier for mobile Li pathways | AIMD ionic conductivity at target temperature | grand-potential electrochemical window and electrode interface reactions | phonon/dynamic stability check for shortlisted phases,0.291667,0.0,Li7La3Zr2O12,1,proxy-screen,https://materialsproject.org/materials/mp-942733
8,9,mp-766132,Li2ZrFe(PO4)3,zirconium-phosphate,Pna2_1,0.0030173771052620004,2.4566,3.043916434674435,0.939509,0.990194,0.837537,0.636007,watchlist,proxy-only,0.0,0.512155,0.28,0.0,0.063601,,phaseStability:pass:0.984913;wideGapProxy:pass:1.0;liContent:pass:1.0;frameworkChemistry:watch:0.536842;ionicConductivity:missing:0.35;migrationBarrier:missing:0.35;electrochemicalWindow:missing:0.3,"ionicConductivityScm,migrationBarrierEv,electrochemicalWindowV,interfaceStability",NEB or bond-valence migration barrier for mobile Li pathways | AIMD ionic conductivity at target temperature | grand-potential electrochemical window and electrode interface reactions | phonon/dynamic stability check for shortlisted phases,0.105263,0.0,Li2ZrFe(PO4)3,1,proxy-screen,https://materialsproject.org/materials/mp-766132
9,11,mp-10499,LiZr2(PO4)3,zirconium-phosphate,P2_1/c,0,4.253299999999999,3.219703708075803,0.936461,1.0,0.784837,0.579778,watchlist,proxy-only,0.0,0.52,0.28,0.0,0.057978,,phaseStability:pass:1.0;wideGapProxy:pass:1.0;liContent:watch:0.55556;frameworkChemistry:watch:0.566667;ionicConductivity:missing:0.35;migrationBarrier:missing:0.35;electrochemicalWindow:missing:0.3,"ionicConductivityScm,migrationBarrierEv,electrochemicalWindowV,interfaceStability",NEB or bond-valence migration barrier for mobile Li pathways | AIMD ionic conductivity at target temperature | grand-potential electrochemical window and electrode interface reactions | phonon/dynamic stability check for shortlisted phases,0.055556,0.0,LiZr2(PO4)3,6,proxy-screen,https://materialsproject.org/materials/mp-10499
10,23,mp-1223569,Li4Zr8V3(P3O16)3,zirconium-phosphate,P1,0.006377033888895001,3.1339,3.057278031198527,0.915541,0.979275,0.746537,0.574677,watchlist,proxy-only,0.0,0.50342,0.28,0.0,0.057468,,phaseStability:pass:0.968115;wideGapProxy:pass:1.0;liContent:watch:0.55556;frameworkChemistry:watch:0.566667;ionicConductivity:missing:0.35;migrationBarrier:missing:0.35;electrochemicalWindow:missing:0.3,"ionicConductivityScm,migrationBarrierEv,electrochemicalWindowV,interfaceStability",NEB or bond-valence migration barrier for mobile Li pathways | AIMD ionic conductivity at target temperature | grand-potential electrochemical window and electrode interface reactions | phonon/dynamic stability check for shortlisted phases,0.055556,0.0,Li4Zr8V3(P3O16)3,1,proxy-screen,https://materialsproject.org/materials/mp-1223569
